"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"929906392089075712","929898124050448384","18006586","2017-11-13 02:58:55 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@andywalt Were you?","","","",""
"929070889185918977","928732327181725697","665313","2017-11-10 19:38:55 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@rfelix Dang, I’m sorry! I’m not seeing anything, so I’m guessing I’ve still got iMessage issues :-/","","","",""
"928687294948585472","928447890321702912","665313","2017-11-09 18:14:39 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@rfelix Heck yes!","","","",""
"928132948926251010","928131802698432519","18006586","2017-11-08 05:31:53 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@andywalt You’re making it worse.","","","",""
"925782651365089280","","","2017-11-01 17:52:38 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","For the folks that think Christmas music should wait until after Thanksgiving, I made you a Thanksgiving playlist: https://t.co/4zh1Lt7n96","","","","https://open.spotify.com/user/12702944/playlist/0LRFdzFPQyzctaqvZA3Sjm?si=7OykKoy3TYm3DviF0UjwjQ"
"925040383624560640","","","2017-10-30 16:43:08 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","""Alexa, play Christmas music."" https://t.co/SPz9h6dO8w","","","","https://twitter.com/joshferrara/status/925040383624560640/photo/1"
"923822254034583552","923820921261051905","9898752","2017-10-27 08:02:43 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@robotspacer @reneritchie You have tracking numbers already?","","","",""
"922685401910992896","922683364024336384","18006586","2017-10-24 04:45:17 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@andywalt Come home","","","",""
"919067718887731200","919052939737538561","20734150","2017-10-14 05:09:54 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@GeoffreyHearn And Middleton‽","","","",""
"918947557321072640","918942212292878336","18006586","2017-10-13 21:12:25 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@andywalt Postmates. Luca wanted cinnamon twists.","","","",""
"918947209705435138","918947065866186752","35068232","2017-10-13 21:11:02 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@dotfras That was a special occasion.","","","",""
"918934014353752064","","","2017-10-13 20:18:36 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Wife is out of town for 24 hours.

Hour 1 of 24: Taco Bell for lunch, kid has no pants, kid playing w/ extension cord, concerned neighbors.","","","",""
"916356100093493248","916310072870952961","155124076","2017-10-06 17:34:53 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@SethMooreBrown You should post the groove of the day so we can all be on the same groove.","","","",""
"913287928536645632","","","2017-09-28 06:23:04 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","An iMessage sticker pack I created had a major spike in downloads from users in China and I can't seem to find any explanation. ¯\_(ツ)_/¯","","","",""
"913215321913176064","912814164921303040","178346346","2017-09-28 01:34:34 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@MrBenBrown Ha welcome to the city. I'd love to buy you guys dinner/a drink and say hello!","","","",""
"912708667086012417","912418318467895296","14681118","2017-09-26 16:01:18 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@andrewbredow @collectiveidea Dude, I'd love to see you!","","","",""
"910667457655848960","","","2017-09-21 00:50:15 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","No one can take advantage of you when you freely give your advantage away.","","","",""
"909854126288207872","909853193730899968","18006586","2017-09-18 18:58:22 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@andywalt It's a valid question","","","",""
"905148364173582336","","","2017-09-05 19:19:21 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I miss cold San Francisco.","","","",""
"904040449513463808","904028686835441664","105666447","2017-09-02 17:56:54 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@ouellettejordan 🙄","","","",""
"903758745922043904","903756315469729793","18006586","2017-09-01 23:17:30 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@andywalt @sozochurchsf I can't believe I was a last resort invite.","","","",""
"900899852074196992","","","2017-08-25 01:57:17 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","My uber driver is listening to Owl City. I want to tell him to change it, but I just feel so happy and agreeable now.","","","",""
"896141391486607360","895831019454164992","665313","2017-08-11 22:48:51 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@rfelix Order from AT&amp;T online, they deliver same week 👌🏼","","","",""
"892564104661028864","","","2017-08-02 01:54:00 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @agiletortoise: If you define a problem by blaming some thing for its existence, you aren’t attempting to understand the problem &amp; are u…","892562710940057600","6152112","2017-08-02 01:48:27 +0000",""
"892490587278061570","","","2017-08-01 21:01:52 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","""Please stow all laptops and DVD players during takeoff..."" 

Also, if you brought a DVD player, please explain yourself.","","","",""
"892149545622261760","892098112130609152","2881135503","2017-07-31 22:26:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@thelightphone Noooo! I just went to buy one for my boss. Surely you have one more in a closet somewhere? :)","","","",""
"889475615837089795","889348249433276416","134348806","2017-07-24 13:21:27 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@PhoebeSparks WHAT?! How do you know?","","","",""
"888948236622458880","888947877032017920","12551632","2017-07-23 02:25:50 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@friedriches I'll tell you all about it.","","","",""
"887057072457568256","887056427155546112","14977006","2017-07-17 21:11:01 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@jasontlaird Don't forget about the Cap'n Crunch cereal AKA ""weeping and gnashing of teeth"".","","","",""
"885596571097677824","885593510535147520","16248190","2017-07-13 20:27:30 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@johndavidwright @ColeSullivan My current packages are updating normally. ¯\_(ツ)_/¯","","","",""
"874851153443528706","874785705771368448","703873","2017-06-14 04:49:03 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@jblanton Worth it?","","","",""
"874476186042159104","874475929304788992","12551632","2017-06-13 03:59:04 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@friedriches @andywalt Touché. I just feel unprepared for not having some on standby.","","","",""
"874475801030180864","874474847501336576","18006586","2017-06-13 03:57:32 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@andywalt Where did these people even buy fireworks??","","","",""
"874474384664125440","","","2017-06-13 03:51:54 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Fireworks going off in my neighborhood. These people were prepared for a W!","","","",""
"874102530518667265","874102353699504128","15320484","2017-06-12 03:14:17 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@eltonvealsjr I do love his 007 soundtracks though 👌🏼","","","",""
"874102176351608833","874029305822674948","15320484","2017-06-12 03:12:53 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@eltonvealsjr Thomas Newman &lt; Hans Zimmer","","","",""
"873067591652200448","15747134829","5690692","2017-06-09 06:41:49 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@gatorworks @chaseswindler @davidlink @davidlink @chaseswindler 7 years went quick.","","","",""
"870352661991759872","","","2017-06-01 18:53:39 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","""Not achieving the outcome you wanted doesn’t make it hard, it means you have more work to do."" — @jasonfried 

https://t.co/aUrEpwJ2FH","","","","https://m.signalvnoise.com/if-youre-reading-this-you-probably-don-t-do-hard-work-41585c1c16a7"
"869782504017846272","","","2017-05-31 05:08:03 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","I want to rewatch #Lost, and I want to find an analysis podcast to follow along and catch things I missed the first time. Recommendations?","","","",""
"868637876308688896","868577005201231872","12551632","2017-05-28 01:19:42 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@friedriches As in an accessory for a shopping wife? Or as in you like to also shop?","","","",""
"867620546053193728","867619311283732480","3952921","2017-05-25 05:57:12 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@lleger 2. How long was your runway before you hit a stride with it?","","","",""
"867620413127278592","867619311283732480","3952921","2017-05-25 05:56:40 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@lleger 1. How do you manage team tasks in relation to this? Ex: You have tasks assigned to you in Trello/Basecamp. Copy to OmniFocus?","","","",""
